dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_delta_cc,std_delta_cc,frac_asch,frac_moscovici,n
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,1,-0.035,0.754171731106384,0.0725,0.0275,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,2,-0.0175,0.6341874722824475,0.0575,0.0225,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,0,0.022857142857142857,0.5498497011707391,0.08,0.02,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,1,-0.05142857142857143,0.7802459057690643,0.06285714285714286,0.02857142857142857,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.3,2,-0.02857142857142857,0.8378787599208672,0.1,0.03142857142857143,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.04,0.47907317928591153,0.07555555555555556,0.011111111111111112,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.2,0,-0.015,0.6322776288941433,0.0775,0.0325,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,circle,0.3,0,-0.037142857142857144,0.6514097741648884,0.05714285714285714,0.03142857142857143,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.1,0,-0.028888888888888888,0.3789589378062086,0.024444444444444446,0.02666666666666667,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,-0.3,1.234908903522847,0.0475,0.0825,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,-0.12,0.7386474125047755,0.014285714285714285,0.037142857142857144,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,-0.15333333333333332,1.0158958826791475,0.09555555555555556,0.07111111111111111,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,0.0,0.0,0.0,0.0,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,-0.1175,0.8681553720388995,0.0125,0.0225,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,-0.235,1.337824726935483,0.085,0.06,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,-0.12571428571428572,0.6335130428887823,0.0,0.04285714285714286,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,-0.3,1.2041594578792296,0.0,0.06,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,-0.7866666666666666,1.0493595930640534,0.1,0.6111111111111112,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,-1.008888888888889,0.9042669768558944,0.035555555555555556,0.7333333333333333,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,-1.1,0.7549834435270749,0.024444444444444446,0.8222222222222222,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,-0.7025,0.9348763287194729,0.07,0.5675,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,-0.8725,0.9307221658475744,0.0525,0.655,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,-1.075,0.7741931283601012,0.0275,0.8025,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,-0.6285714285714286,0.9315337363943489,0.06,0.5114285714285715,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,1,-1.0114285714285713,0.8717048742292898,0.045714285714285714,0.7314285714285714,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,2,-1.1114285714285714,0.7263495532244704,0.025714285714285714,0.8428571428571429,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.1,0,-0.54,0.9885792274212972,0.09111111111111111,0.47333333333333333,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.2,0,-0.52,0.8914033879226622,0.075,0.4225,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.3,0,-0.4342857142857143,0.8750323609176184,0.07142857142857142,0.37142857142857144,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.1,0,-0.17592592592592593,0.9312347806730877,0.18518518518518517,0.2962962962962963,108
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.2,0,-0.234375,0.8242835430693737,0.078125,0.234375,64
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,-0.2857142857142857,0.6577636818983621,0.11428571428571428,0.4,35
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,-0.3300653594771242,1.044223761318423,0.17320261437908496,0.42810457516339867,306
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,-0.53125,1.257917632769862,0.19791666666666666,0.4479166666666667,288
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,-0.4107142857142857,1.188137583938555,0.17857142857142858,0.53125,224
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,-0.0625,0.9055149840635639,0.2727272727272727,0.22727272727272727,176
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,-0.3463203463203463,1.3229482559247832,0.15584415584415584,0.3852813852813853,231
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,-0.19548872180451127,1.660956543937934,0.24060150375939848,0.2631578947368421,133
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,-0.056296296296296296,0.7696663449696077,0.2362962962962963,0.28,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,-0.18296296296296297,0.7952675525316869,0.19777777777777777,0.35703703703703704,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,-0.23925925925925925,0.7706270939759526,0.16814814814814816,0.38074074074074077,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,-0.05416666666666667,0.7546959468701434,0.22583333333333333,0.265,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,-0.2075,0.7975653055810958,0.18916666666666668,0.3725,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,-0.265,0.769052447279551,0.16083333333333333,0.3958333333333333,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,-0.05523809523809524,0.7750859801621952,0.23523809523809525,0.2752380952380952,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,-0.259047619047619,0.7804388555525896,0.16476190476190475,0.38952380952380955,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,-0.28095238095238095,0.7771247663627321,0.15714285714285714,0.4085714285714286,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.19185185185185186,0.6794934771280249,0.3348148148148148,0.14814814814814814,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.16166666666666665,0.7051221328409868,0.3258333333333333,0.17,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.16857142857142857,0.7179089059754806,0.32857142857142857,0.16666666666666666,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.4325925925925926,0.6297359387375973,0.48592592592592593,0.06444444444444444,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.425,0.6641096796965593,0.4725,0.0725,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.44952380952380955,0.613983683593319,0.4876190476190476,0.05142857142857143,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,0.21185185185185185,0.690362422462595,0.34296296296296297,0.12518518518518518,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,0.1325925925925926,0.9105415262667823,0.37851851851851853,0.19555555555555557,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,0.1925,0.7062415191231208,0.3491666666666667,0.16416666666666666,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,0.19416666666666665,0.8887065351146888,0.3975,0.17,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,0.16952380952380952,0.7196723870423276,0.32761904761904764,0.17047619047619048,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,0.10476190476190476,1.0494788686255716,0.4085714285714286,0.19714285714285715,1050
