dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_semantic_drift,mean_mirroring,n
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,0.3406501752989633,0.5900381319295792,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,0.3356743906162403,0.6694972734539597,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,0.3443755885461966,0.6405165086189906,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.34773200614111766,0.6465447283926464,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,0.34159981864470024,0.5986288045070789,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,0.34588458423261287,0.6107161113509425,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,0.33636327361067136,0.6098669493198394,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,0.35572573567430177,0.5927840947111448,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,0.34700615559305464,0.5943473865872337,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,0.3625943567071642,0.58647459035828,1050
